date,gold_price,R_GOLD,sp500,R_SP500,VIX,D_GULF,D_911,D_UKR,EPISODE_ACTIVE,GPR,GPRA,GPRT,dln_GPR,dln_GPRA,dln_GPRT,D_GULF,D_911,D_UKR,WAR_HIGH,CONTROL,R_GOLD_LEAD
1991-02-01,363.83,-5.301788728390714,367.0700073242187,6.511445851577625,21.59842105263158,1,0,0,1,339.3580322265625,490.2737426757813,253.7916259765625,-0.1111393626350034,0.0217699424583219,-0.3496815960175325,1,0,0,1,0,-0.1347690565244329
1991-03-01,363.34,-0.1347690565244329,375.2200012207031,2.195993835391806,17.74421052631579,1,0,0,1,148.61831665039062,171.39544677734375,133.98248291015625,-0.8256743061855065,-1.0509904527172471,-0.6388044933051225,1,0,0,1,0,-1.3745159038329289
1993-01-01,329.01,-1.7504928547411505,438.7799987792969,0.7021280908169156,12.409,0,0,0,0,128.91807556152344,114.82777404785156,144.89353942871094,0.4352774475814911,0.6344388083643926,0.3982615606770174,0,0,0,1,0,0.0911410927107661
1993-07-01,392.19,5.3148304621010425,448.1300048828125,-0.5341285007793978,11.50047619047619,0,0,0,0,123.31478881835938,107.0821533203125,131.75840759277344,0.1684737878064064,0.3785976816301106,0.0489507344434896,0,0,0,1,0,-3.463246388397782
1994-06-01,385.64,1.0976944145859373,444.2699890136719,-2.715623904644618,13.408636363636363,0,0,0,0,120.35224151611328,79.9498519897461,148.2960662841797,0.141553574402125,0.0786028092511568,0.1872158182546943,0,0,0,1,0,-0.0389039466476187
2001-09-01,283.42,3.969503351475227,1040.93994140625,-8.525663276941998,35.065333333333335,0,1,0,1,498.64788818359375,841.177490234375,260.16961669921875,2.0513351892869514,2.418752880898107,1.5497899416168304,0,1,0,1,0,-0.1271007091031535
2001-10-01,283.06,-0.1271007091031535,1059.780029296875,1.793727226268294,32.72130434782609,0,1,0,1,512.5297241210938,854.074951171875,261.347412109375,0.0274584958443737,0.0152162704179357,0.0045168128651722,0,1,0,1,0,-2.467848141062964
2001-11-01,276.16,-2.467848141062964,1139.449951171875,7.248427993671071,26.63095238095238,0,1,0,1,306.785888671875,509.7461242675781,149.79522705078125,-0.5132086343829929,-0.5161061485524598,-0.5565813946675204,0,1,0,1,0,-0.1123168176623314
2001-12-01,275.85,-0.1123168176623314,1148.0799560546875,0.7545296609037893,23.72,0,0,0,0,236.09974670410156,381.9725036621094,126.19801330566406,-0.2618957019750185,-0.2885641801494909,-0.1714170008753779,0,0,0,1,0,2.0310731209029194
2002-01-01,281.51,2.0310731209029194,1130.199951171875,-1.5696378592795637,22.252857142857145,0,0,0,0,172.47720336914062,262.2870178222656,106.9162368774414,-0.3139892979013154,-0.3759092340504013,-0.1658065125887162,0,0,0,1,0,4.85008659186839
