date,GPR,GPRA,GPRT,dln_GPR,dln_GPRA,dln_GPRT,D_GULF,D_911,D_UKR,WAR_HIGH,CONTROL
1991-01-01,379.2497863769531,479.7158508300781,360.0328063964844,,,,1,0,0,1,0
1991-02-01,339.3580322265625,490.27374267578125,253.7916259765625,-0.11113936263500346,0.021769942458321978,-0.34968159601753257,1,0,0,1,0
1991-03-01,148.61831665039062,171.39544677734375,133.98248291015625,-0.8256743061855065,-1.0509904527172473,-0.6388044933051225,1,0,0,1,0
1991-04-01,97.760009765625,88.50554656982422,100.77496337890625,-0.4188657908131752,-0.6609082177624845,-0.2848191212461053,0,0,0,0,0
1991-05-01,88.56902313232422,79.06768798828125,95.45738983154297,-0.09873342488555537,-0.11276092756223566,-0.05420997746408229,0,0,0,0,0
1991-06-01,87.73383331298828,69.48858642578125,99.7988510131836,-0.009474560808533816,-0.12914178059811388,0.044476702212739916,0,0,0,0,0
1991-07-01,115.18467712402344,84.731201171875,144.65106201171875,0.27222911871578415,0.1983213915798192,0.37116770297867596,0,0,0,0,0
1991-08-01,113.49502563476562,87.34529113769531,133.4146728515625,-0.014777719384292176,0.030385220569261406,-0.0808622545119313,0,0,0,0,0
1991-09-01,117.94219207763672,74.79663848876953,154.14364624023438,0.03843559782490402,-0.1550961831632085,0.14442281662587408,0,0,0,0,0
1991-10-01,100.8318099975586,77.95648193359375,122.6444320678711,-0.15674072555302043,0.04137780308294925,-0.22859556269489456,0,0,0,0,0
1991-11-01,100.7423324584961,77.58206176757812,120.3302230834961,-0.0008877879260626997,-0.004814509385841603,-0.01904955037573952,0,0,0,0,0
1991-12-01,103.96953582763672,58.747432708740234,135.23251342773438,0.031531838195903994,-0.27808878418317207,0.11675579625100774,0,0,0,0,0
1992-01-01,102.95763397216797,69.45668029785156,126.1564712524414,-0.009780348540753714,0.16745579967367785,-0.06947264678159826,0,0,0,0,0
1992-02-01,87.2034683227539,62.860504150390625,101.0959701538086,-0.1660734784880633,-0.09978520162140025,-0.22145270661848482,0,0,0,0,0
1992-03-01,85.29731750488281,53.69252014160156,107.12957000732422,-0.022101098238263006,-0.15764434946208716,0.05796877128968614,0,0,0,0,0
1992-04-01,85.85562133789062,74.40125274658203,92.64119720458984,0.006524057571593467,0.3261990776039694,-0.1453050995857108,0,0,0,0,0
1992-05-01,78.96814727783203,56.43539047241211,93.08229064941406,-0.08362249165513536,-0.2763763273293023,0.004750010666630722,0,0,0,0,1
1992-06-01,93.84909057617188,49.73001480102539,124.33613586425781,0.17264350065527267,-0.12648778200538047,0.289504723584165,0,0,0,0,0
1992-07-01,75.19676971435547,51.642940521240234,92.42886352539062,-0.22157979869389344,0.037744836707076956,-0.2965493655004856,0,0,0,0,1
1992-08-01,81.64519500732422,70.1595230102539,87.55679321289062,0.08227469492284722,0.3064180423798657,-0.05415165758241258,0,0,0,0,0
1992-09-01,74.6097183227539,45.73872375488281,92.68926239013672,-0.09011219788191038,-0.42782626340285024,0.056964985939201185,0,0,0,0,1
1992-10-01,68.18277740478516,58.99306106567383,71.33625793457031,-0.09007876891143507,0.2544745418944636,-0.2618479094451116,0,0,0,0,1
1992-11-01,91.00899505615234,68.5569076538086,109.6229248046875,0.2887663461661951,0.1502443411067782,0.4296417959712713,0,0,0,0,0
