date,gold_price,R_GOLD,sp500,R_SP500,VIX,D_GULF,D_911,D_UKR,EPISODE_ACTIVE,GPR,GPRA,GPRT,dln_GPR,dln_GPRA,dln_GPRT,D_GULF,D_911,D_UKR,WAR_HIGH,CONTROL,R_GOLD_LEAD
1991-02-01,363.83,-5.301788728390714,367.0700073242187,6.511445851577625,21.59842105263158,1,0,0,1,339.3580322265625,490.2737426757813,253.7916259765625,-0.1111393626350034,0.0217699424583219,-0.3496815960175325,1,0,0,1,0,-0.1347690565244329
1991-03-01,363.34,-0.1347690565244329,375.2200012207031,2.195993835391806,17.74421052631579,1,0,0,1,148.61831665039062,171.39544677734375,133.98248291015625,-0.8256743061855065,-1.0509904527172471,-0.6388044933051225,1,0,0,1,0,-1.3745159038329289
1991-04-01,358.38,-1.3745159038329289,375.3399963378906,0.0319748237583098,17.37272727272727,0,0,0,0,97.760009765625,88.50554656982422,100.77496337890624,-0.4188657908131752,-0.6609082177624845,-0.2848191212461053,0,0,0,0,0,-0.3998160023800115
1991-05-01,356.95,-0.3998160023800115,389.8299865722656,3.7878440105439655,16.93227272727273,0,0,0,0,88.56902313232422,79.06768798828125,95.45738983154295,-0.0987334248855553,-0.1127609275622356,-0.0542099774640822,0,0,0,0,0,2.7002898137850657
1991-06-01,366.72,2.7002898137850657,371.1600036621094,-4.907746586014916,17.134999999999998,0,0,0,0,87.73383331298828,69.48858642578125,99.7988510131836,-0.0094745608085338,-0.1291417805981138,0.0444767022127399,0,0,0,0,0,0.2641577767322029
1991-07-01,367.69,0.2641577767322029,387.80999755859375,4.388227631696101,17.294090909090908,0,0,0,0,115.18467712402344,84.731201171875,144.65106201171875,0.2722291187157841,0.1983213915798192,0.3711677029786759,0,0,0,0,0,-3.14390533993835
1991-08-01,356.31,-3.14390533993835,395.4299926757813,1.9458239201722227,15.681363636363637,0,0,0,0,113.49502563476562,87.34529113769531,133.4146728515625,-0.0147777193842921,0.0303852205692614,-0.0808622545119313,0,0,0,0,0,-2.147447956491096
1991-09-01,348.74,-2.147447956491096,387.8599853515625,-1.9329349869559536,16.9565,0,0,0,0,117.94219207763672,74.79663848876953,154.14364624023438,0.038435597824904,-0.1550961831632085,0.144422816625874,0,0,0,0,0,2.8131846810319816
1991-10-01,358.69,2.8131846810319816,392.4500122070313,1.1764759676739434,16.36391304347826,0,0,0,0,100.8318099975586,77.95648193359375,122.6444320678711,-0.1567407255530204,0.0413778030829492,-0.2285955626948945,0,0,0,0,0,0.4117636510885232
1991-11-01,360.17,0.4117636510885232,375.2200012207031,-4.489664780873656,17.773500000000002,0,0,0,0,100.7423324584961,77.58206176757812,120.3302230834961,-0.0008877879260626,-0.0048145093858416,-0.0190495503757395,0,0,0,0,0,0.4321934972392649
