date,rho_t,h11_gold,h22_sp500,h12_cov,hedge_ratio,w_gold,w_sp500
1991-03-01,-0.11478653655485796,11.48869107512993,16.873578539695085,-1.5981952170944014,-0.09471584307588624,0.5853155275953078,0.4146844724046922
1991-04-01,-0.10158945109275451,9.926199003295425,13.846759050530439,-1.1910066055873678,-0.0860133841602265,0.574948659042905,0.42505134095709496
1991-05-01,-0.09342856247468202,9.198255368196547,11.352678300483369,-0.9547321858680634,-0.08409752840679131,0.5479604797833519,0.45203952021664806
1991-06-01,-0.09241342985414906,8.28963564458855,11.251656930845495,-0.8925058083559438,-0.0793221668454192,0.5694452554828464,0.4305547445171536
1991-07-01,-0.10048987018999551,8.278628989528304,16.38957926439563,-1.170537678178147,-0.071419629466694,0.6501511552824034,0.3498488447175966
1991-08-01,-0.09421802136163977,7.516652065412322,15.808144266206405,-1.0270383220558639,-0.06496893656590659,0.6633542239784082,0.33664577602159185
1991-09-01,-0.09350352523132162,8.802912602371046,12.927578214466969,-0.9974698257979991,-0.0771582897624052,0.5869249899929881,0.41307501000701186
1991-10-01,-0.08441489240971657,8.86113252300851,12.182476727197608,-0.8770643979023381,-0.0719939317383858,0.5728437224229417,0.4271562775770583
1991-11-01,-0.08538669168682396,8.777116551701862,10.011946720810979,-0.8004337361893651,-0.07994786214009428,0.53028039144808,0.46971960855191996
1991-12-01,-0.0857095266188965,7.8808411644039875,14.480042032779128,-0.9155884279040707,-0.06323106147284736,0.6363918751425051,0.36360812485749494
1992-01-01,-0.08451708985942112,7.219642051017797,32.1085234876162,-1.286804393892442,-0.04007672275521308,0.796990781854625,0.20300921814537498
1992-02-01,-0.08199187276071725,7.609397694943351,26.429270365475688,-1.1627558528903839,-0.043995003903296595,0.7587693822813135,0.24123061771868648
1992-03-01,-0.08516152505565722,7.067248853422038,20.500378337166456,-1.0250606453084987,-0.050002035496588874,0.7267749942617797,0.2732250057382203
1992-04-01,-0.07905801489225915,8.076665937698447,18.11210463696694,-0.9561949035137318,-0.05279314153045091,0.6785591513474709,0.3214408486525291
1992-05-01,-0.08634737883338163,8.004270980126458,15.152071992702734,-0.9509245565592385,-0.06275871425486927,0.6426240366435829,0.3573759633564171
1992-06-01,-0.08672682467642012,7.410857032034189,12.294368235226907,-0.8278292583501381,-0.06733402176601225,0.6143096711864389,0.38569032881356113
1992-07-01,-0.08871326990135837,6.931185758935193,11.506075040391636,-0.7922385250262177,-0.06885393344342834,0.6142480566840075,0.3857519433159925
1992-08-01,-0.07871775816596592,7.843318370701188,11.460026817552524,-0.7463034617215591,-0.06512231372604628,0.5869570296042635,0.41304297039573645
1992-09-01,-0.07324859919321565,8.682199576025276,11.743078148764456,-0.7396140992581779,-0.06298298366821277,0.5698686969579726,0.4301313030420274
1992-10-01,-0.08089529037563542,7.821259300951003,9.663630626062613,-0.7032856259922815,-0.07277654260661978,0.5487620123095558,0.4512379876904442
1992-11-01,-0.08413654044468862,7.252300401030026,8.2118942849646,-0.6492982285054919,-0.07906802084560577,0.5286227357886927,0.4713772642113073
1992-12-01,-0.09314196044575274,8.22633535366868,8.049475187725712,-0.7579356985062821,-0.09415964157042495,0.49502969515318335,0.5049703048468166
1993-01-01,-0.09061454183898807,7.508138704966319,6.943903255074462,-0.6542833569227723,-0.09422414640420508,0.48209982045849736,0.5179001795415026
1993-02-01,-0.08872103208908468,7.6317405462985715,6.125608433551359,-0.6066147973684539,-0.09902931340597709,0.44969693037435665,0.5503030696256433
1993-03-01,-0.08848309798142794,7.05168157804408,5.527621566796533,-0.5524281716389258,-0.09993957888819059,0.4443129842000585,0.5556870157999415
1993-04-01,-0.08848230583056992,6.613032395547454,5.3003210678350365,-0.5238510825955277,-0.09883383966577318,0.4493593976705703,0.5506406023294297
1993-05-01,-0.10263147022153804,7.749670501273341,7.407538067563012,-0.7776051266307432,-0.10497484043123732,0.48976412578716766,0.5102358742128323
1993-06-01,-0.08222377431190307,13.548303178617479,6.893223275728655,-0.794604526052353,-0.11527329005143222,0.3489591983676591,0.6510408016323409
