date,DCC_rho
1991-03-01,-0.11478653655485796
1991-04-01,-0.10158945109275451
1991-05-01,-0.09342856247468202
1991-06-01,-0.09241342985414906
1991-07-01,-0.10048987018999551
1991-08-01,-0.09421802136163977
1991-09-01,-0.09350352523132162
1991-10-01,-0.08441489240971657
1991-11-01,-0.08538669168682396
1991-12-01,-0.0857095266188965
1992-01-01,-0.08451708985942112
1992-02-01,-0.08199187276071725
1992-03-01,-0.08516152505565722
1992-04-01,-0.07905801489225915
1992-05-01,-0.08634737883338163
1992-06-01,-0.08672682467642012
1992-07-01,-0.08871326990135837
1992-08-01,-0.07871775816596592
1992-09-01,-0.07324859919321565
1992-10-01,-0.08089529037563542
1992-11-01,-0.08413654044468862
1992-12-01,-0.09314196044575274
1993-01-01,-0.09061454183898807
1993-02-01,-0.08872103208908468
1993-03-01,-0.08848309798142794
1993-04-01,-0.08848230583056992
1993-05-01,-0.10263147022153804
1993-06-01,-0.08222377431190307
1993-07-01,-0.0857549177626089
1993-08-01,-0.09289562629563113
1993-09-01,-0.09910945956574761
1993-10-01,-0.08063044862671352
1993-11-01,-0.08257223098615454
1993-12-01,-0.08918777787022153
1994-01-01,-0.0881738283680849
1994-02-01,-0.08651825068546667
1994-03-01,-0.07934513841723431
1994-04-01,-0.0835013983712374
1994-05-01,-0.08619290808153238
1994-06-01,-0.08691473576285921
1994-07-01,-0.08947349260002475
1994-08-01,-0.08961542488864563
1994-09-01,-0.09370160978959687
1994-10-01,-0.09920468099208761
1994-11-01,-0.09442213430280406
1994-12-01,-0.08066161342365732
1995-01-01,-0.08495101898914088
1995-02-01,-0.08744859704771744
1995-03-01,-0.09021411657100274
1995-04-01,-0.08679291777077695
1995-05-01,-0.08284896484440213
1995-06-01,-0.09121105676291417
1995-07-01,-0.08926505886185883
1995-08-01,-0.0905387243612889
1995-09-01,-0.08799305726099818
1995-10-01,-0.08989838246163051
1995-11-01,-0.0882145588825473
1995-12-01,-0.08703582400743214
1996-01-01,-0.08740922579785833
1996-02-01,-0.07869824010237764
1996-03-01,-0.08367393158195371
1996-04-01,-0.08543096703552076
1996-05-01,-0.08757012849321547
1996-06-01,-0.08901851127779621
1996-07-01,-0.08634872618859488
1996-08-01,-0.07799888299194237
1996-09-01,-0.08251964336499804
1996-10-01,-0.09198453988934702
1996-11-01,-0.09147431974253514
1996-12-01,-0.09657235209779506
1997-01-01,-0.08455569103424537
1997-02-01,-0.10238482088215434
1997-03-01,-0.09423869053169462
1997-04-01,-0.09443094889660258
1997-05-01,-0.09899830039391991
1997-06-01,-0.09485648080126435
1997-07-01,-0.09418460752570564
1997-08-01,-0.11502036721284178
1997-09-01,-0.09885652067689772
1997-10-01,-0.09482537877826909
1997-11-01,-0.09160764033120287
1997-12-01,-0.1015336085465109
1998-01-01,-0.09574383203777061
1998-02-01,-0.09184573327369608
1998-03-01,-0.07957573800984921
1998-04-01,-0.08579418049339697
1998-05-01,-0.0863491024323049
1998-06-01,-0.08027261171404622
1998-07-01,-0.08961854619615266
1998-08-01,-0.08837298702652348
1998-09-01,-0.03592096095326585
1998-10-01,-0.05937945829368282
1998-11-01,-0.06850704243086987
1998-12-01,-0.08036978640243458
1999-01-01,-0.08676213205387139
1999-02-01,-0.0903910353636068
1999-03-01,-0.08823457849781274
1999-04-01,-0.08966193452046108
1999-05-01,-0.09176214140659025
1999-06-01,-0.0826655727675666
1999-07-01,-0.10299838989072187
1999-08-01,-0.08914633457124718
1999-09-01,-0.08840609123363967
1999-10-01,-0.09473448950561937
1999-11-01,-0.02898667429961121
1999-12-01,-0.05966454626677711
2000-01-01,-0.07999756550608457
2000-02-01,-0.0833918209807274
2000-03-01,-0.0905082562531482
2000-04-01,-0.10458708805417237
2000-05-01,-0.0921149724589662
2000-06-01,-0.08742452186098498
2000-07-01,-0.0851373159009748
2000-08-01,-0.08398259356986928
2000-09-01,-0.09443653729051593
2000-10-01,-0.08768831575232701
2000-11-01,-0.08643722132318668
2000-12-01,-0.0741795628646785
2001-01-01,-0.08156861927442328
2001-02-01,-0.08858637830701342
2001-03-01,-0.07431195701118067
2001-04-01,-0.08097983522514907
2001-05-01,-0.08861535423037828
